 SC17 VRS SC27, SC17 VRS SC37, SC27 VRS SC37
3.0000,3.0000,3.0000
5.0000,5.0000,3.0000
1.0000,3.0000,9.0000
1.0000,1.0000,1.0000
1.0000,1.0000,1.0000
1.0000,1.0000,1.0000
1.0000,1.0000,1.0000
0.3333,0.3333,1.0000
1.0000,3.0000,5.0000
1.0000,1.0000,1.0000
3.0000,1.0000,3.0000
1.0000,1.0000,0.1111
3.0000,5.0000,7.0000
1.0000,1.0000,1.0000
1.0000,1.0000,1.0000
1.0000,5.0000,5.0000
3.0000,1.0000,1.0000
1.0000,1.0000,1.0000
1.0000,1.0000,1.0000
5.0000,5.0000,5.0000
1.0000,1.0000,1.0000
1.0000,1.0000,0.1111
1.0000,3.0000,1.0000
1.0000,1.0000,1.0000
1.0000,1.0000,1.0000
3.0000,3.0000,3.0000
1.0000,1.0000,1.0000
1.0000,1.0000,1.0000
3.0000,3.0000,3.0000
1.0000,1.0000,3.0000
1.0000,1.0000,1.0000
0.1111,0.1111,0.1111
1.0000,1.0000,1.0000
1.0000,1.0000,1.0000
0.3333,0.3333,1.0000
