SC13 VRS SC23,SC13 VRS SC33,SC23 VRS SC33
3.0000,3.0000,1.0000
1.0000,1.0000,1.0000
5.0000,1.0000,9.0000
1.0000,1.0000,1.0000
1.0000,1.0000,1.0000
1.0000,1.0000,1.0000
1.0000,1.0000,1.0000
1.0000,1.0000,1.0000
1.0000,5.0000,5.0000
1.0000,1.0000,1.0000
1.0000,1.0000,3.0000
1.0000,1.0000,1.0000
5.0000,5.0000,5.0000
1.0000,1.0000,1.0000
3.0000,3.0000,3.0000
1.0000,5.0000,1.0000
1.0000,1.0000,1.0000
1.0000,1.0000,1.0000
1.0000,1.0000,1.0000
5.0000,5.0000,1.0000
5.0000,5.0000,3.0000
0.1111,9.0000,0.1111
1.0000,3.0000,1.0000
1.0000,3.0000,3.0000
1.0000,1.0000,1.0000
5.0000,5.0000,5.0000
1.0000,1.0000,1.0000
1.0000,1.0000,1.0000
3.0000,1.0000,3.0000
1.0000,3.0000,3.0000
1.0000,1.0000,1.0000
0.1111,0.1111,0.1111
1.0000,1.0000,1.0000
1.0000,1.0000,1.0000
1.0000,1.0000,1.0000
