C1 VRS C2,  C1 VRS C3,  C1 VRS C4,  C1 VRS C5,  C1 VRS C6,  C1 VRS C7,  C1 VRS C8,  C1 VRS C9 ,  C1 VRS C10,  C1 VRS C11,  C2 VRS C3,  C2 VRS C4,  C2 VRS C5,  C2 VRS C6,  C2 VRS C7,  C2 VRS C8,  C2 VRS C9 ,  C2 VRS C10,  C2 VRS C11,  C3 VRS C4,  C3 VRS C5,  C3 VRS C6,  C3 VRS C7,  C3 VRS C8,  C3 VRS C9 ,  C3 VRS C10,  C3 VRS C11,  C4 VRS C5,  C4 VRS C6,  C4 VRS C7,  C4 VRS C8,  C4 VRS C9 ,  C4 VRS C10,  C4 VRS C11,  C5 VRS C6,  C5 VRS C7,  C5 VRS C8,  C5 VRS C9 ,  C5 VRS C10,  C5 VRS C11,  C6 VRS C7,  C6 VRS C8,  C6 VRS C9 ,  C6 VRS C10 with Requirements,  C6 VRS C11,  C7 VRS C8,  C7 VRS C9 ,  C7 VRS C10,  C7 VRS C11,  C8 VRS C9 ,  C8 VRS C10,  C8 VRS C11,  C9  VRS C10,  C9  VRS C11,  C10 VRS C11
1.0000,1.0000,1.0000,3.0000,1.0000,1.0000,3.0000,3.0000,1.0000,3.0000,1.0000,1.0000,1.0000,3.0000,1.0000,1.0000,1.0000,1.0000,3.0000,3.0000,1.0000,1.0000,1.0000,3.0000,1.0000,1.0000,1.0000,1.0000,3.0000,3.0000,3.0000,3.0000,1.0000,1.0000,1.0000,1.0000,3.0000,3.0000,3.0000,1.0000,1.0000,3.0000,1.0000,1.0000,3.0000,1.0000,1.0000,1.0000,3.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
7.0000,1.0000,3.0000,1.0000,5.0000,1.0000,5.0000,7.0000,3.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,3.0000,3.0000,3.0000,1.0000,3.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,3.0000,1.0000,3.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,5.0000,5.0000,3.0000,5.0000,3.0000,3.0000,3.0000,5.0000,3.0000,3.0000,5.0000,5.0000,5.0000,5.0000,5.0000,3.0000,5.0000
3.0000,3.0000,1.0000,1.0000,1.0000,3.0000,1.0000,0.3333,3.0000,1.0000,3.0000,1.0000,1.0000,0.3333,0.3333,0.3333,1.0000,1.0000,1.0000,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,1.0000,1.0000,0.3333,1.0000,1.0000,3.0000,1.0000,3.0000,1.0000,9.0000,7.0000,7.0000,7.0000,1.0000,3.0000,3.0000,5.0000,3.0000,3.0000,3.0000,3.0000,5.0000,1.0000,3.0000,1.0000,3.0000,9.0000,1.0000,3.0000
1.0000,1.0000,3.0000,1.0000,1.0000,1.0000,3.0000,3.0000,1.0000,3.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,3.0000,3.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
3.0000,1.0000,1.0000,3.0000,1.0000,3.0000,3.0000,3.0000,1.0000,5.0000,1.0000,1.0000,1.0000,1.0000,3.0000,1.0000,1.0000,1.0000,3.0000,1.0000,1.0000,1.0000,3.0000,1.0000,1.0000,3.0000,5.0000,1.0000,1.0000,1.0000,1.0000,0.3333,1.0000,3.0000,1.0000,3.0000,1.0000,1.0000,1.0000,3.0000,7.0000,7.0000,7.0000,7.0000,9.0000,1.0000,1.0000,1.0000,3.0000,1.0000,3.0000,5.0000,5.0000,3.0000,5.0000
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.3333,1.0000,3.0000,5.0000,1.0000,3.0000,1.0000,9.0000,1.0000,9.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,9.0000,1.0000,1.0000,1.0000,1.0000,1.0000,9.0000,1.0000,9.0000,1.0000,1.0000,7.0000,5.0000,7.0000,1.0000,9.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.3333,1.0000,1.0000,9.0000,1.0000,0.2000,1.0000,1.0000,1.0000,0.3333,0.3333,1.0000,0.2000,1.0000,0.3333,0.3333
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
3.0000,3.0000,5.0000,1.0000,1.0000,3.0000,5.0000,3.0000,3.0000,3.0000,1.0000,3.0000,5.0000,5.0000,3.0000,5.0000,3.0000,3.0000,5.0000,5.0000,1.0000,3.0000,5.0000,3.0000,1.0000,3.0000,5.0000,5.0000,3.0000,1.0000,3.0000,5.0000,5.0000,3.0000,1.0000,3.0000,5.0000,1.0000,1.0000,1.0000,1.0000,1.0000,3.0000,5.0000,5.0000,5.0000,5.0000,3.0000,3.0000,3.0000,3.0000,3.0000,1.0000,3.0000,5.0000
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
