SC18 VRS SC28,SC18 VRS SC38,SC18 VRS SC48,SC18 VRS SC58,SC18 VRS SC68,SC18 VRS SC78,SC28 VRS SC38,SC28 VRS SC48,SC28 VRS SC58,SC28 VRS SC68,SC28 VRS SC78,SC38 VRS SC48,SC38 VRS SC58,SC38 VRS SC68,SC38 VRS SC78,SC48 VRS SC58,SC48 VRS SC68,SC48 VRS SC78,SC58 VRS SC68,SC58 VRS SC78,SC68 VRS SC78
1.0000,3.0000,1.0000,1.0000,1.0000,1.0000,3.0000,1.0000,1.0000,1.0000,1.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,1.0000,1.0000,3.0000
1.0000,3.0000,3.0000,1.0000,5.0000,5.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,3.0000,1.0000
9.0000,5.0000,3.0000,5.0000,3.0000,3.0000,3.0000,1.0000,3.0000,3.0000,1.0000,3.0000,3.0000,9.0000,3.0000,3.0000,7.0000,5.0000,5.0000,5.0000,7.0000
1.0000,3.0000,3.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,3.0000,3.0000,1.0000
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,9.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,9.0000,1.0000,3.0000
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
5.0000,5.0000,5.0000,1.0000,3.0000,5.0000,5.0000,5.0000,3.0000,3.0000,5.0000,5.0000,5.0000,3.0000,3.0000,3.0000,3.0000,3.0000,1.0000,3.0000,5.0000
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
