 SC110 VRS SC210, SC110 VRS SC310, SC110 VRS SC410, SC210 VRS SC310, SC210 VRS SC410, SC310 VRS SC410
1.0000,3.0000,1.0000,3.0000,1.0000,1.0000
3.0000,3.0000,5.0000,5.0000,3.0000,5.0000
1.0000,3.0000,3.0000,3.0000,5.0000,7.0000
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
1.0000,3.0000,1.0000,3.0000,1.0000,0.3333
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
1.0000,5.0000,1.0000,1.0000,1.0000,1.0000
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
1.0000,3.0000,5.0000,5.0000,3.0000,5.0000
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
1.0000,1.0000,5.0000,1.0000,1.0000,3.0000
1.0000,0.1429,1.0000,0.2000,5.0000,5.0000
5.0000,3.0000,3.0000,5.0000,3.0000,7.0000
1.0000,1.0000,1.0000,5.0000,1.0000,1.0000
1.0000,1.0000,1.0000,1.0000,3.0000,3.0000
1.0000,1.0000,5.0000,1.0000,1.0000,1.0000
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
5.0000,1.0000,1.0000,1.0000,1.0000,3.0000
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.1111,0.1429,0.1111,9.0000,0.1429,0.1429
3.0000,3.0000,5.0000,5.0000,5.0000,3.0000
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
1.0000,3.0000,1.0000,1.0000,3.0000,1.0000
3.0000,3.0000,5.0000,3.0000,5.0000,5.0000
3.0000,3.0000,1.0000,1.0000,1.0000,1.0000
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
3.0000,1.0000,1.0000,3.0000,3.0000,3.0000
3.0000,1.0000,1.0000,1.0000,1.0000,1.0000
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.1429,1.0000,0.1111,0.1111,0.1111,0.1111
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
1.0000,3.0000,1.0000,3.0000,3.0000,7.0000
