SC14 VRS SC24,SC14 VRS SC34,SC14 VRS SC44 ,SC24 VRS SC34,SC24 VRS SC44,SC34 VRS SC44
1.0000,1.0000,3.0000,1.0000,1.0000,3.0000
3.0000,1.0000,1.0000,1.0000,5.0000,1.0000
1.0000,3.0000,7.0000,7.0000,5.0000,7.0000
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
3.0000,3.0000,1.0000,1.0000,3.0000,1.0000
0.3333,0.2000,0.3333,1.0000,1.0000,1.0000
5.0000,1.0000,3.0000,5.0000,5.0000,5.0000
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
1.0000,3.0000,1.0000,3.0000,1.0000,3.0000
5.0000,0.1111,9.0000,1.0000,0.1429,1.0000
1.0000,5.0000,5.0000,3.0000,5.0000,5.0000
3.0000,1.0000,1.0000,5.0000,3.0000,1.0000
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
1.0000,5.0000,1.0000,1.0000,1.0000,1.0000
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
5.0000,5.0000,5.0000,5.0000,5.0000,5.0000
1.0000,3.0000,5.0000,1.0000,1.0000,5.0000
0.1111,0.1111,0.1429,1.0000,9.0000,9.0000
1.0000,3.0000,3.0000,3.0000,3.0000,3.0000
1.0000,1.0000,3.0000,3.0000,1.0000,1.0000
1.0000,1.0000,1.0000,3.0000,3.0000,3.0000
5.0000,3.0000,5.0000,5.0000,5.0000,5.0000
1.0000,3.0000,1.0000,3.0000,1.0000,1.0000
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
3.0000,3.0000,1.0000,3.0000,3.0000,3.0000
1.0000,0.3333,1.0000,1.0000,1.0000,1.0000
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
0.3333,0.3333,0.3333,0.1111,0.1111,0.1111
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
1.0000,1.0000,1.0000,1.0000,1.0000,3.0000
