SC16 VRS SC26,SC16 VRS SC36,SC16 VRS SC46,SC16 VRS SC56,SC26 VRS SC36,SC26 VRS SC46,SC26 VRS SC56,SC36 VRS SC46,SC36 VRS SC56,SC46 VRS SC56
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,3.0000
3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,1.0000,3.0000,1.0000
1.0000,3.0000,3.0000,1.0000,1.0000,7.0000,9.0000,3.0000,3.0000,3.0000
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
1.0000,1.0000,1.0000,1.0000,1.0000,3.0000,1.0000,1.0000,1.0000,1.0000
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
3.0000,5.0000,5.0000,5.0000,3.0000,1.0000,1.0000,3.0000,3.0000,3.0000
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
1.0000,3.0000,3.0000,3.0000,1.0000,1.0000,1.0000,1.0000,3.0000,1.0000
1.0000,1.0000,0.1111,0.2000,1.0000,0.2000,1.0000,1.0000,0.1429,1.0000
3.0000,5.0000,5.0000,5.0000,7.0000,7.0000,5.0000,3.0000,5.0000,3.0000
1.0000,9.0000,1.0000,1.0000,5.0000,1.0000,3.0000,1.0000,3.0000,3.0000
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,3.0000,3.0000,1.0000
1.0000,1.0000,1.0000,0.1429,7.0000,7.0000,5.0000,1.0000,1.0000,1.0000
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
1.0000,1.0000,5.0000,5.0000,5.0000,1.0000,5.0000,5.0000,5.0000,5.0000
1.0000,3.0000,5.0000,3.0000,1.0000,5.0000,3.0000,3.0000,3.0000,3.0000
1.0000,0.1111,1.0000,0.1111,0.1111,1.0000,1.0000,1.0000,9.0000,0.1429
1.0000,3.0000,3.0000,3.0000,5.0000,5.0000,5.0000,5.0000,5.0000,3.0000
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
3.0000,3.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,3.0000,3.0000
3.0000,3.0000,5.0000,3.0000,3.0000,5.0000,3.0000,5.0000,3.0000,3.0000
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
3.0000,3.0000,1.0000,3.0000,3.0000,5.0000,3.0000,3.0000,3.0000,3.0000
1.0000,1.0000,1.0000,1.0000,3.0000,3.0000,3.0000,3.0000,1.0000,1.0000
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
3.0000,3.0000,3.0000,0.1111,0.1111,0.1111,0.1111,0.1111,0.1111,0.1111
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
