SC111 VRS SC211,SC111 VRS SC311,SC111 VRS SC411,SC111 VRS SC511,SC111 VRS SC611,SC111 VRS  SC711,SC211 VRS SC311,SC211 VRS SC411,SC211 VRS SC511,SC211 VRS SC611,SC211 VRS  SC711,SC311 VRS SC411,SC311 VRS SC511,SC311 VRS SC611,SC311 VRS  SC711,SC411 VRS SC511,SC411 VRS SC611,SC411 VRS SC711,SC511 VRS SC611,SC511 VRS  SC711,SC611 VRS  SC711
3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,3.0000,5.0000,5.0000,5.0000,5.0000,5.0000,1.0000,1.0000,1.0000,1.0000,5.0000,5.0000,5.0000,5.0000,5.0000
1.0000,1.0000,3.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,3.0000,3.0000,3.0000,1.0000,3.0000,1.0000,1.0000,1.0000,1.0000,1.0000,3.0000,3.0000
3.0000,1.0000,3.0000,5.0000,3.0000,1.0000,7.0000,7.0000,5.0000,1.0000,5.0000,3.0000,5.0000,1.0000,3.0000,1.0000,3.0000,9.0000,3.0000,1.0000,3.0000
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
1.0000,1.0000,1.0000,1.0000,1.0000,5.0000,1.0000,1.0000,1.0000,1.0000,5.0000,1.0000,1.0000,3.0000,3.0000,1.0000,3.0000,3.0000,3.0000,3.0000,3.0000
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
1.0000,1.0000,9.0000,1.0000,5.0000,3.0000,1.0000,3.0000,5.0000,1.0000,5.0000,5.0000,5.0000,1.0000,7.0000,1.0000,3.0000,5.0000,3.0000,1.0000,3.0000
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
5.0000,3.0000,3.0000,3.0000,1.0000,3.0000,3.0000,3.0000,1.0000,3.0000,3.0000,3.0000,1.0000,3.0000,3.0000,5.0000,1.0000,3.0000,3.0000,1.0000,1.0000
1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
